This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
175 	 Jamaica 	            1.90 	 2004 est.
176 	 El Salvador 	            1.80 	 2004 est.
177 	 Greenland 	            1.80 	 2001 est.
178 	 Switzerland 	            1.80 	 2004 est.
179 	 Iceland 	            1.80 	 2004 est.
180 	 Cayman Islands 	            1.70 	 2002 est.
181 	 Germany 	            1.70 	 2004 est.
182 	 Dominican Republic 	            1.70 	 2004 est.
183 	 Kiribati 	            1.50 	 2001 est.
184 	 Tonga 	            1.50 	 2002 est.
185 	 Seychelles 	            1.50 	 2004 est.
186 	 Italy 	            1.30 	 2004 est.
187 	 Macedonia 	            1.30 	 2004 est.
188 	 Oman 	            1.20 	 2004 est.
189 	 Netherlands 	            1.20 	 2004 est.
190 	 Vanuatu 	            1.10 	 2003 est.
191 	 Portugal 	            1.10 	 2004 est.
192 	 Micronesia, Federated States of 	            1.00 	 2002 est.
193 	 Guinea 	            1.00 	 2004 est.
194 	 Palau 	            1.00 	 2001 est.
195 	 British Virgin Islands 	            1.00 	 2002 est.
196 	 East Timor 	            1.00 	 2004 est.
197 	 Marshall Islands 	            1.00 	 2001 est.
198 	 Malta 	            1.00 	 2004 est.
199 	 Korea, North 	            1.00 	 2004 est.
200 	 Monaco 	            0.90 	 2000 est.
201 	 Rwanda 	            0.90 	 2004 est.
202 	 Papua New Guinea 	            0.90 	 2004 est.
203 	 Saint Vincent and the Grenadines 	            0.70 	 2002 est.
204 	 Central African Republic 	            0.50 	 2004 est.
205 	 Netherlands Antilles 	            0.50 	 2003 est.
206 	 Niue 	           -0.30 	 2000 est.
207 	 Dominica 	           -1.00 	 2003 est.
208 	 Montserrat 	           -1.00 	 2002 est.
209 	 Cote d'Ivoire 	           -1.00 	 2004 est.
210 	 Burma 	           -1.30 	 2004 est.
211 	 Aruba 	           -1.50 	 2002 est.
212 	 Saint Kitts and Nevis 	           -1.90 	 2002 est.
213 	 Haiti 	           -3.50 	 2004 est.
214 	 Zimbabwe 	           -8.20 	 2004 est.

 This file was last updated on 20 October, 2005
